,CE,RD,RRR,CE,RD,RRR,CE,RD,RRR,CE,RD,RRR
Steps,0,0,0,500,500,500,1000,1000,1000,2000,2000,2000
Model,,,,,,,,,,,,
TinyLlama-1.1B,0.7765500655708214,0.0,0.0,0.879822071098412,0.6163925044868337,0.0,0.7431875873977939,0.6114796620157614,0.0,0.7978611753787845,0.6751859816757916,0.0
Phi-3-mini-3.8B,0.6399325612006074,0.0,0.72,0.3762395673415063,0.296290880292654,0.0,0.3924219506527073,0.3044138911366463,0.0,0.3852773112065477,0.3159589900076389,0.0
Qwen2-7B,,,,1.0,0.296290880292654,0.0,1.0,0.3044138911366463,0.0,1.0,0.3159589900076389,0.0
