RRR_pre,RRR_post,RD,CE_pre,CE_post,model,params_b,attack,steps,batch,lr,max_len,seed,timestamp
0.72,0.0,0.296290880292654,0.6399325612006074,0.3762395673415063,Phi-3-mini-4k-instruct,3.8,LoRA,500,4,0.0002,256,42,2025-09-09 20:00:31
0.72,0.0,0.3044138911366463,0.6399325599955883,0.3924219506527073,Phi-3-mini-4k-instruct,3.8,LoRA,1000,4,0.0002,256,42,2025-09-09 20:26:53
0.72,0.0,0.3159589900076389,0.6399325655986718,0.3852773112065477,Phi-3-mini-4k-instruct,3.8,LoRA,2000,4,0.0002,256,42,2025-09-09 21:14:32
0.72,0.0,0.2891478475928306,0.6399325643533037,0.3855055810759898,Phi-3-mini-4k-instruct,3.8,LoRA,500,4,0.0002,256,42,2025-09-25 01:31:38
0.72,0.0,0.3050415161252022,0.6399325638549533,0.3722182685419799,Phi-3-mini-4k-instruct,3.8,LoRA,1000,4,0.0002,256,42,2025-09-25 02:01:50
0.72,0.0,0.3211357818543911,0.6399325663528783,0.4034715319419167,Phi-3-mini-4k-instruct,3.8,LoRA,2000,4,0.0002,256,42,2025-09-25 02:57:37
